,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,hosp_per_million,covid_beds_per_million,icu_hdu_beds_per_million
31,21-08-2021,203,196,7,23947,3.03,2861,200,11507,,,8388,,967,239,Saturday,Aug-21,2021,20210821,4926.108374,41.7588842,349.528137
30,22-08-2021,203,196,7,23947,,2861,200,11507,,,8216,,1011,234,Sunday,Aug-21,2021,20210822,4926.108374,41.7588842,349.528137
29,23-08-2021,203,196,7,23947,3.18,2861,200,11507,,,8083,,1010,243,Monday,Aug-21,2021,20210823,4926.108374,41.7588842,349.528137
28,24-08-2021,203,196,7,23947,2.99,2861,200,11507,,,8005,,961,251,Tuesday,Aug-21,2021,20210824,4926.108374,41.7588842,349.528137
27,25-08-2021,203,196,7,23947,3.05,2861,200,11507,,,7971,,973,241,Wednesday,Aug-21,2021,20210825,4926.108374,41.7588842,349.528137
26,27-08-2021,203,196,7,23947,3.28,2861,200,11507,,,7878,,1030,235,Friday,Aug-21,2021,20210827,4926.108374,41.7588842,349.528137
25,28-08-2021,203,196,7,23947,3.02,2861,200,11507,,,7894,,975,240,Saturday,Aug-21,2021,20210828,4926.108374,41.7588842,349.528137
24,29-08-2021,203,196,7,23947,3.05,2861,200,11507,,,7841,,986,243,Sunday,Aug-21,2021,20210829,4926.108374,41.7588842,349.528137
23,30-08-2021,203,196,7,23947,3.07,2861,200,11507,,,7701,,985,236,Monday,Aug-21,2021,20210830,4926.108374,41.7588842,349.528137
22,31-08-2021,203,196,7,23947,3.09,2861,200,11507,,,7575,,1005,235,Tuesday,Aug-21,2021,20210831,4926.108374,41.7588842,349.528137
21,01-09-2021,203,196,7,23947,3.22,2861,200,11507,,,7516,,1049,236,Wednesday,Sep-21,2021,20210901,4926.108374,41.7588842,349.528137
20,02-09-2021,203,196,7,23947,3.1,2861,200,11507,,,7473,,1023,238,Thursday,Sep-21,2021,20210902,4926.108374,41.7588842,349.528137
19,03-09-2021,203,196,7,23947,3.24,2861,200,11507,,,7392,,1066,236,Friday,Sep-21,2021,20210903,4926.108374,41.7588842,349.528137
18,04-09-2021,203,196,7,23947,3.19,2861,200,11507,,,7398,,1047,234,Saturday,Sep-21,2021,20210904,4926.108374,41.7588842,349.528137
17,05-09-2021,203,196,7,23947,,2861,200,11507,,,7370,,1029,253,Sunday,Sep-21,2021,20210905,4926.108374,41.7588842,349.528137
16,06-09-2021,203,196,7,23947,3.43,2861,200,11507,,,7152,,1097,231,Monday,Sep-21,2021,20210906,4926.108374,41.7588842,349.528137
15,07-09-2021,203,196,7,23947,3.21,2861,200,11507,,,7110,,1042,235,Tuesday,Sep-21,2021,20210907,4926.108374,41.7588842,349.528137
14,08-09-2021,203,196,7,23947,3.36,2861,200,11507,,,6965,,1091,232,Wednesday,Sep-21,2021,20210908,4926.108374,41.7588842,349.528137
13,09-09-2021,203,196,7,23947,3.25,2861,200,11507,,,6941,,1069,236,Thursday,Sep-21,2021,20210909,4926.108374,41.7588842,349.528137
12,10-09-2021,203,196,7,23947,3.24,2861,200,11507,,,6904,,1069,246,Friday,Sep-21,2021,20210910,4926.108374,41.7588842,349.528137
11,11-09-2021,203,196,7,23947,3.08,2861,200,11507,,,6936,,1020,247,Saturday,Sep-21,2021,20210911,4926.108374,41.7588842,349.528137
10,12-09-2021,203,196,7,23947,,2861,200,11507,,,6860,,1079,248,Sunday,Sep-21,2021,20210912,4926.108374,41.7588842,349.528137
9,13-09-2021,203,196,7,23947,3.36,2861,200,11507,,,6755,,1091,250,Monday,Sep-21,2021,20210913,4926.108374,41.7588842,349.528137
8,14-09-2021,203,196,7,23947,3.43,2861,200,11507,,,6707,,1118,249,Tuesday,Sep-21,2021,20210914,4926.108374,41.7588842,349.528137
7,15-09-2021,203,196,7,23947,3.32,2861,200,11507,,,6679,,1121,250,Wednesday,Sep-21,2021,20210915,4926.108374,41.7588842,349.528137
6,16-09-2021,203,196,7,23947,3.31,2861,200,11507,,,6649,,1119,257,Thursday,Sep-21,2021,20210916,4926.108374,41.7588842,349.528137
5,17-09-2021,203,196,7,23947,,2861,200,11507,,,6668,,1082,258,Friday,Sep-21,2021,20210917,4926.108374,41.7588842,349.528137
4,18-09-2021,203,196,7,23947,3.12,2861,200,11507,,,6667,,1056,244,Saturday,Sep-21,2021,20210918,4926.108374,41.7588842,349.528137
3,19-09-2021,203,196,7,23947,,2861,200,11507,,,6571,,1091,244,Sunday,Sep-21,2021,20210919,4926.108374,41.7588842,349.528137
2,20-09-2021,203,196,7,23947,,2861,200,11507,,,6402,,1170,238,Monday,Sep-21,2021,20210920,4926.108374,41.7588842,349.528137
1,21-09-2021,203,196,7,23947,3.47,2861,200,11507,,,6384,,1131,226,Tuesday,Sep-21,2021,20210921,4926.108374,41.7588842,349.528137
0,22-09-2021,203,196,7,23947,,2861,200,11507,,,6364,,1133,227,Wednesday,Sep-21,2021,20210922,4926.108374,41.7588842,349.528137
463,23-09-2021,203,196,7,23947,3.59,2861,200,11507,,,6315,,1160,229,Thursday,Sep-21,2021,20210923,4926.108374,41.7588842,349.528137
464,24-09-2021,203,196,7,23947,3.48,2861,200,11507,,,6314,,1149,226,Friday,Sep-21,2021,20210924,4926.108374,41.7588842,349.528137
465,25-09-2021,203,196,7,23947,,2861,200,11507,,,6275,,1177,222,Saturday,Sep-21,2021,20210925,4926.108374,41.7588842,349.528137
466,26-09-2021,203,196,7,23947,,2861,200,11507,,,6273,,1187,223,Sunday,Sep-21,2021,20210926,4926.108374,41.7588842,349.528137
467,27-09-2021,203,196,7,23947,,2861,200,11507,,,6112,,1249,223,Monday,Sep-21,2021,20210927,4926.108374,41.7588842,349.528137
468,28-09-2021,203,196,7,23947,,2861,200,11507,,,6175,,1189,222,Tuesday,Sep-21,2021,20210928,4926.108374,41.7588842,349.528137
469,29-09-2021,203,196,7,23947,,2861,200,11507,,,6180,,1180,220,Wednesday,Sep-21,2021,20210929,4926.108374,41.7588842,349.528137
471,30-09-2021,203,196,7,23947,3.42,2861,200,11507,,,6181,,1171,218,Thursday,Sep-21,2021,20210930,4926.108374,41.7588842,349.528137
470,01-10-2021,203,196,7,23947,3.17,2861,200,11507,,,6240,,1106,225,Friday,Oct-21,2021,20211001,4926.108374,41.7588842,349.528137
472,02-10-2021,203,196,7,23947,,2861,200,11507,,,,,1137,231,Saturday,Oct-21,2021,20211002,4926.108374,41.7588842,349.528137
473,03-10-2021,203,196,7,23947,3.06,2861,200,11507,,,6284,,1072,231,Sunday,Oct-21,2021,20211003,4926.108374,41.7588842,349.528137
474,04-10-2021,203,196,7,23947,3.31,2861,200,11507,,,6238,,1151,215,Monday,Oct-21,2021,20211004,4926.108374,41.7588842,349.528137
475,05-10-2021,203,196,7,23947,3.29,2861,200,11507,,,6223,,1134,218,Tuesday,Oct-21,2021,20211005,4926.108374,41.7588842,349.528137
476,06-10-2021,203,196,7,23947,3.22,2861,200,11507,,,6247,,1127,217,Wednesday,Oct-21,2021,20211006,4926.108374,41.7588842,349.528137
477,07-10-2021,203,196,7,23947,3.32,2861,200,11507,,,6218,,1161,214,Thursday,Oct-21,2021,20211007,4926.108374,41.7588842,349.528137
478,08-10-2021,203,196,7,23947,3.27,2861,200,11507,,,6281,,1139,205,Friday,Oct-21,2021,20211008,4926.108374,41.7588842,349.528137
479,10-10-2021,203,196,7,23947,,2861,200,11507,,,,,1116,204,Sunday,Oct-21,2021,20211010,4926.108374,41.7588842,349.528137
480,11-10-2021,203,196,7,23947,2.99,2861,200,11507,,,6379,,1060,210,Monday,Oct-21,2021,20211011,4926.108374,41.7588842,349.528137
481,12-10-2021,203,196,7,23947,2.79,2861,200,11507,,,6474,,993,205,Tuesday,Oct-21,2021,20211012,4926.108374,41.7588842,349.528137
482,13-10-2021,203,196,7,23947,,2861,200,11507,,,,,959,205,Wednesday,Oct-21,2021,20211013,4926.108374,41.7588842,349.528137
483,14-10-2021,203,196,7,23947,,2861,200,11507,,,,,975,204,Thursday,Oct-21,2021,20211014,4926.108374,41.7588842,349.528137
484,15-10-2021,203,196,7,23947,,2861,200,11507,,,,,933,199,Friday,Oct-21,2021,20211015,4926.108374,41.7588842,349.528137
485,16-10-2021,203,196,7,23947,,2861,200,11507,,,,,1045,199,Saturday,Oct-21,2021,20211016,4926.108374,41.7588842,349.528137
486,17-10-2021,203,196,7,23947,,2861,200,11507,,,,,1031,205,Sunday,Oct-21,2021,20211017,4926.108374,41.7588842,349.528137
487,18-10-2021,203,196,7,23947,2.93,2861,200,11507,,,6142,,1070,204,Monday,Oct-21,2021,20211018,4926.108374,41.7588842,349.528137
488,19-10-2021,203,196,7,23947,2.82,2861,200,11507,,,6184,,1036,208,Tuesday,Oct-21,2021,20211019,4926.108374,41.7588842,349.528137
489,20-10-2021,203,196,7,23947,2.56,2861,200,11507,,,6302,,980,209,Wednesday,Oct-21,2021,20211020,4926.108374,41.7588842,349.528137
490,21-10-2021,203,196,7,23947,2.95,2861,200,11507,,,6247,,1081,207,Thursday,Oct-21,2021,20211021,4926.108374,41.7588842,349.528137
491,22-10-2021,203,196,7,23947,2.68,2861,200,11507,,,6350,,1019,208,Friday,Oct-21,2021,20211022,4926.108374,41.7588842,349.528137
492,23-10-2021,203,196,7,23947,2.79,2861,200,11507,,,6464,,1057,210,Saturday,Oct-21,2021,20211023,4926.108374,41.7588842,349.528137
493,24-10-2021,203,196,7,23947,3.04,2861,200,11507,,,6552,,1118,212,Sunday,Oct-21,2021,20211024,4926.108374,41.7588842,349.528137
494,25-10-2021,203,196,7,23947,2.95,2861,200,11507,,,6547,,1110,212,Monday,Oct-21,2021,20211025,4926.108374,41.7588842,349.528137
496,26-10-2021,203,196,7,23947,3,2861,200,11507,,,6529,,1102,218,Tuesday,Oct-21,2021,20211026,4926.108374,41.7588842,349.528137
495,27-10-2021,203,196,7,23947,3.05,2861,200,11507,,,6593,,1165,215,Wednesday,Oct-21,2021,20211027,4926.108374,41.7588842,349.528137
497,28-10-2021,203,196,7,23947,3.05,2861,200,11507,,,6698,,1192,219,Thursday,Oct-21,2021,20211028,4926.108374,41.7588842,349.528137
498,29-10-2021,203,196,7,23947,2.9,2861,200,11507,,,6875,,1129,219,Friday,Oct-21,2021,20211029,4926.108374,41.7588842,349.528137
499,30-10-2021,203,196,7,23947,3.05,2861,200,11507,,,6914,,1175,221,Saturday,Oct-21,2021,20211030,4926.108374,41.7588842,349.528137
500,31-10-2021,203,196,7,23947,2.91,2861,200,11507,,,6956,,1121,219,Sunday,Oct-21,2021,20211031,4926.108374,41.7588842,349.528137
501,01-11-2021,203,196,7,23947,2.95,2861,200,11507,,,6751,,1191,204,Monday,Nov-21,2021,20211101,4926.108374,41.7588842,349.528137
502,02-11-2021,203,196,7,23947,2.95,2861,200,11507,,,6751,,1170,205,Tuesday,Nov-21,2021,20211102,4926.108374,41.7588842,349.528137
503,03-11-2021,203,196,7,23947,3.12,2861,200,11507,,,6750,,1197,205,Wednesday,Nov-21,2021,20211103,4926.108374,41.7588842,349.528137
504,04-11-2021,203,196,7,23947,2.9,2861,200,11507,,,6860,,1125,208,Thursday,Nov-21,2021,20211104,4926.108374,41.7588842,349.528137
505,05-11-2021,203,196,7,23947,2.61,2861,200,11507,,,6884,,1046,207,Friday,Nov-21,2021,20211105,4926.108374,41.7588842,349.528137
506,06-11-2021,203,196,7,23947,2.84,2861,200,11507,,,6747,,1080,202,Saturday,Nov-21,2021,20211106,4926.108374,41.7588842,349.528137
507,07-11-2021,203,196,7,23947,2.63,2861,200,11507,,,6736,,1028,203,Sunday,Nov-21,2021,20211107,4926.108374,41.7588842,349.528137
508,08-11-2021,203,196,7,23947,2.79,4139,200,11507,,,6628,,1060,211,Monday,Nov-21,2021,20211108,4926.108374,41.7588842,241.6042522
509,09-11-2021,203,196,7,23947,2.7,4139,200,11507,,,6676,,1032,208,Tuesday,Nov-21,2021,20211109,4926.108374,41.7588842,241.6042522
511,10-11-2021,203,196,7,23947,2.7,4139,200,11507,,,6700,,1037,208,Wednesday,Nov-21,2021,20211110,4926.108374,41.7588842,241.6042522
510,11-11-2021,203,196,7,23947,2.69,4139,200,11507,,,6723,,1042,208,Thursday,Nov-21,2021,20211111,4926.108374,41.7588842,241.6042522
512,12-11-2021,203,196,7,23947,2.9,4139,200,11507,,,6698,,1101,201,Friday,Nov-21,2021,20211112,4926.108374,41.7588842,241.6042522
513,13-11-2021,203,196,7,23947,2.69,4139,200,11507,,,6764,,1071,196,Saturday,Nov-21,2021,20211113,4926.108374,41.7588842,241.6042522
514,14-11-2021,203,196,7,23947,2.74,4139,200,11507,,,6789,,1077,196,Sunday,Nov-21,2021,20211114,4926.108374,41.7588842,241.6042522
515,15-11-2021,203,196,7,23947,2.69,4139,200,11507,,,6778,,1075,194,Monday,Nov-21,2021,20211115,4926.108374,41.7588842,241.6042522
516,16-11-2021,203,196,7,23947,2.79,4139,200,11507,,,6753,,1080,194,Tuesday,Nov-21,2021,20211116,4926.108374,41.7588842,241.6042522
519,17-11-2021,203,196,7,23947,2.8,4139,200,11507,,,6759,,1098,194,Wednesday,Nov-21,2021,20211117,4926.108374,41.7588842,241.6042522
518,18-11-2021,203,196,7,23947,4.5,4139,200,11507,,,6481,,1398,193,Thursday,Nov-21,2021,20211118,4926.108374,41.7588842,241.6042522
517,19-11-2021,203,196,7,23947,2.85,4139,200,11507,,,6913,,1001,193,Friday,Nov-21,2021,20211119,4926.108374,41.7588842,241.6042522
520,20-11-2021,203,196,7,23947,2.73,4139,200,11507,,,6870,,979,196,Saturday,Nov-21,2021,20211120,4926.108374,41.7588842,241.6042522
521,21-11-2021,203,196,7,23947,2.71,4139,200,11507,,,6846,,978,196,Sunday,Nov-21,2021,20211121,4926.108374,41.7588842,241.6042522
522,22-11-2021,203,196,7,23947,2.66,4139,200,11507,,,6718,,1031,196,Monday,Nov-21,2021,20211122,4926.108374,41.7588842,241.6042522
523,23-11-2021,203,196,7,23947,2.49,4139,200,11507,,,6745,,973,196,Tuesday,Nov-21,2021,20211123,4926.108374,41.7588842,241.6042522
524,24-11-2021,203,196,7,23947,2.5,4139,200,11507,,,6724,,976,194,Wednesday,Nov-21,2021,20211124,4926.108374,41.7588842,241.6042522
525,25-11-2021,203,196,7,23947,2.51,4139,200,11507,,,6708,,965,194,Thursday,Nov-21,2021,20211125,4926.108374,41.7588842,241.6042522
526,26-11-2021,203,196,7,23947,2.6,4139,200,11507,,,6670,,983,194,Friday,Nov-21,2021,20211126,4926.108374,41.7588842,241.6042522
527,27-11-2021,203,196,7,23947,2.35,4139,200,11507,,,6719,,907,194,Saturday,Nov-21,2021,20211127,4926.108374,41.7588842,241.6042522
528,28-11-2021,203,196,7,23947,2.31,4139,200,11507,,,6704,,905,195,Sunday,Nov-21,2021,20211128,4926.108374,41.7588842,241.6042522
529,29-11-2021,203,196,7,23947,2.2,4139,200,11507,,,6651,,887,195,Monday,Nov-21,2021,20211129,4926.108374,41.7588842,241.6042522
530,30-11-2021,203,196,7,23947,2.24,4139,200,11507,,,6664,,873,194,Tuesday,Nov-21,2021,20211130,4926.108374,41.7588842,241.6042522
531,01-12-2021,203,196,7,23947,2.08,4139,200,11507,,,6681,,836,195,Wednesday,Dec-21,2021,20211201,4926.108374,41.7588842,241.6042522
532,02-12-2021,203,196,7,23947,2.28,4139,200,11507,,,6619,,874,197,Thursday,Dec-21,2021,20211202,4926.108374,41.7588842,241.6042522
533,03-12-2021,203,196,7,23947,2.23,4139,200,11507,,,6602,,874,194,Friday,Dec-21,2021,20211203,4926.108374,41.7588842,241.6042522
534,04-12-2021,203,196,7,23947,2.2,4139,200,11507,,,6591,,871,194,Saturday,Dec-21,2021,20211204,4926.108374,41.7588842,241.6042522
535,05-12-2021,203,196,7,23947,2.19,4139,200,11507,,,6588,,860,191,Sunday,Dec-21,2021,20211205,4926.108374,41.7588842,241.6042522
536,06-12-2021,203,196,7,23947,1.98,4139,200,11507,,,6583,,817,190,Monday,Dec-21,2021,20211206,4926.108374,41.7588842,241.6042522
537,07-12-2021,203,196,7,23947,1.97,4139,200,11507,,,6584,,795,197,Tuesday,Dec-21,2021,20211207,4926.108374,41.7588842,241.6042522
538,08-12-2021,203,196,7,23947,1.89,4139,200,11507,,,6617,,769,190,Wednesday,Dec-21,2021,20211208,4926.108374,41.7588842,241.6042522
539,09-12-2021,203,196,7,23947,1.89,4139,200,11507,,,6608,,767,190,Thursday,Dec-21,2021,20211209,4926.108374,41.7588842,241.6042522
540,10-12-2021,203,196,7,23947,1.83,4139,200,11507,,,6668,,754,152,Friday,Dec-21,2021,20211210,4926.108374,41.7588842,241.6042522
541,11-12-2021,203,196,7,23947,1.8,4139,200,11507,,,6666,,744,152,Saturday,Dec-21,2021,20211211,4926.108374,41.7588842,241.6042522
543,12-12-2021,203,196,7,23947,1.62,4139,200,11507,,,6687,,709,152,Sunday,Dec-21,2021,20211212,4926.108374,41.7588842,241.6042522
542,13-12-2021,203,196,7,23947,1.79,4139,200,11507,,,6608,,757,152,Monday,Dec-21,2021,20211213,4926.108374,41.7588842,241.6042522
544,14-12-2021,203,196,7,23947,1.66,4139,200,11507,,,6636,,717,152,Tuesday,Dec-21,2021,20211214,4926.108374,41.7588842,241.6042522
545,15-12-2021,203,196,7,23947,1.67,4139,200,11507,,,6629,,709,152,Wednesday,Dec-21,2021,20211215,4926.108374,41.7588842,241.6042522
546,16-12-2021,203,196,7,23947,1.65,4139,200,11507,,,6648,,706,152,Thursday,Dec-21,2021,20211216,4926.108374,41.7588842,241.6042522
547,17-12-2021,203,196,7,23947,1.62,4139,200,11507,,,6666,,695,152,Friday,Dec-21,2021,20211217,4926.108374,41.7588842,241.6042522
550,18-12-2021,203,196,7,23947,1.73,4139,200,11507,,,6623,,728,150,Saturday,Dec-21,2021,20211218,4926.108374,41.7588842,241.6042522
549,19-12-2021,203,196,7,23947,1.56,4139,200,11507,,,6651,,684,154,Sunday,Dec-21,2021,20211219,4926.108374,41.7588842,241.6042522
548,20-12-2021,203,196,7,23947,1.57,4139,200,11507,,,6624,,698,152,Monday,Dec-21,2021,20211220,4926.108374,41.7588842,241.6042522
551,21-12-2021,203,196,7,23947,1.55,4139,200,11507,,,6609,,689,153,Tuesday,Dec-21,2021,20211221,4926.108374,41.7588842,241.6042522
552,22-12-2021,203,196,7,23947,1.46,4139,200,11507,,,6619,,671,152,Wednesday,Dec-21,2021,20211222,4926.108374,41.7588842,241.6042522
553,23-12-2021,203,196,7,23947,1.37,4139,200,11507,,,6632,,650,151,Thursday,Dec-21,2021,20211223,4926.108374,41.7588842,241.6042522
554,24-12-2021,203,196,7,23947,1.37,4139,200,11507,,,6647,,647,152,Friday,Dec-21,2021,20211224,4926.108374,41.7588842,241.6042522
555,25-12-2021,203,196,7,23947,1.34,4139,200,11507,,,6672,,636,150,Saturday,Dec-21,2021,20211225,4926.108374,41.7588842,241.6042522
556,26-12-2021,203,196,7,23947,1.29,4139,200,11507,,,6666,,630,154,Sunday,Dec-21,2021,20211226,4926.108374,41.7588842,241.6042522
557,27-12-2021,203,196,7,23947,1.44,4139,200,11507,,,6614,,667,152,Monday,Dec-21,2021,20211227,4926.108374,41.7588842,241.6042522
558,28-12-2021,203,196,7,23947,1.24,4139,200,11507,,,6665,,639,153,Tuesday,Dec-21,2021,20211228,4926.108374,41.7588842,241.6042522
559,29-12-2021,203,196,7,23947,1.45,4139,200,11507,,,6823,,753,151,Wednesday,Dec-21,2021,20211229,4926.108374,41.7588842,241.6042522
560,30-12-2021,203,196,7,23947,1.57,4139,200,11507,,,7820,,804,152,Thursday,Dec-21,2021,20211230,4926.108374,41.7588842,241.6042522
561,31-12-2021,203,196,7,23947,1.54,4139,200,11507,,,9703,,853,154,Friday,Dec-21,2021,20211231,4926.108374,41.7588842,241.6042522
562,01-01-2022,203,196,7,23947,1.7,4139,200,11507,,,12148,,1002,150,Saturday,Jan-22,2022,20220101,4926.108374,41.7588842,241.6042522
563,02-01-2022,203,196,7,23947,2.14,4139,200,11507,,,15770,,1116,152,Sunday,Jan-22,2022,20220102,4926.108374,41.7588842,241.6042522
564,03-01-2022,203,196,7,23947,2.63,4139,200,11507,,,18612,,1420,154,Monday,Jan-22,2022,20220103,4926.108374,41.7588842,241.6042522
565,04-01-2022,203,196,7,23947,3.25,4139,200,11507,,,23655,,1668,152,Tuesday,Jan-22,2022,20220104,4926.108374,41.7588842,241.6042522
566,05-01-2022,203,196,7,23947,3.83,4139,200,11507,,,30881,,2009,152,Wednesday,Jan-22,2022,20220105,4926.108374,41.7588842,241.6042522
